title,price,image,price_clean
PANFILA UPRIGHT REF PRFU4150VB,Rp 10.396.900,https://loginmegastore.com/uploads/product/0134-0510-0165_thumb.png?w=400&h=400&fit=contain,10396900
AQUA 4D REF AQRCTD506RGG(BK),Rp 8.817.900,https://loginmegastore.com/uploads/product/0317-0177-0303_thumb.png?w=400&h=400&fit=contain,8817900
AQUA 2D REF AQR415IMBK,Rp 5.828.500,https://loginmegastore.com/uploads/product/0317-0175-0279_thumb.jpg?w=400&h=400&fit=contain,5828500
SHARP 2D REF SJ236MNHS,Rp 3.049.500,https://loginmegastore.com/uploads/product/0153-0175-1121_thumb.jpeg?w=400&h=400&fit=contain,3049500
SHARP 1D REF SJN162NHS,Rp 1.870.600,https://loginmegastore.com/uploads/product/AA004225_thumb.jpeg?w=400&h=400&fit=contain,1870600
SAMSUNG 2D REF RT19M300BGS,Rp 3.923.200,https://loginmegastore.com/uploads/product/AA002214_thumb1.jpg?w=400&h=400&fit=contain,3923200
SHARP 2D REF SJ316MNHS,Rp 3.575.800,https://loginmegastore.com/uploads/product/0153-0175-1122_thumb.png?w=400&h=400&fit=contain,3575800
HISENSE 1D REF RR198D4IBN,Rp 1.837.900,https://loginmegastore.com/uploads/product/0535-0174-0080_thumb.png?w=400&h=400&fit=contain,1837900
TCL 4D REF P500CD,Rp 8.449.500,https://loginmegastore.com/uploads/product/0162-0180-0241_thumb.png?w=400&h=400&fit=contain,8449500
SAMSUNG 2D REF RT25FARBDSA,Rp 5.893.700,https://loginmegastore.com/uploads/product/AA002220_thumb1.jpg?w=400&h=400&fit=contain,5893700
SHARP 1D REF SJX197WDW,Rp 2.312.700,https://loginmegastore.com/uploads/product/0153-0174-1120_thumb.jpeg?w=400&h=400&fit=contain,2312700
AQUA 1D REF AQRD185MDS,Rp 1.870.600,https://loginmegastore.com/uploads/product/0317-0174-0253_thumb.png?w=400&h=400&fit=contain,1870600
AQUA 1D REF AQRD225MDS,Rp 2.144.300,https://loginmegastore.com/uploads/product/0317-0174-0255_thumb.png?w=400&h=400&fit=contain,2144300
SHARP 2D REF SJ246XGMR,Rp 3.407.400,https://loginmegastore.com/uploads/product/AA002854_thumb1.jpg?w=400&h=400&fit=contain,3407400
SAMSUNG 2D REF RT22FARBDSA,Rp 5.091.600,https://loginmegastore.com/uploads/product/AA002218_thumb.png?w=400&h=400&fit=contain,5091600
TOSHIBA 2D REF GRB25ISP,Rp 3.291.600,https://loginmegastore.com/uploads/product/0172-0175-0417_thumb.png?w=400&h=400&fit=contain,3291600
SAMSUNG 2D REF RT38CG6420B1SE,Rp 8.209.500,https://loginmegastore.com/uploads/product/0144-0175-1981_thumb.png?w=400&h=400&fit=contain,8209500
HITACHI 2D REF RWB640PGD1GCK,Rp 18.502.200,https://loginmegastore.com/uploads/product/AA004106_thumb.jpg?w=400&h=400&fit=contain,18502200
PANFILA 4D REF PRFM5511GB,Rp 13.028.500,https://loginmegastore.com/uploads/product/0134-0177-0163_thumb.png?w=400&h=400&fit=contain,13028500
MODENA 2D REF RF2650TGDS,Rp 4.417.900,https://loginmegastore.com/uploads/product/0121-0175-0489_thumb.png?w=400&h=400&fit=contain,4417900
HISENSE 2D REF RT469N4IWPBU,Rp 5.239.000,https://loginmegastore.com/uploads/product/0535-0175-0078_thumb.png?w=400&h=400&fit=contain,5239000
AQUA 4D REF AQRTTD546RBG(WT),Rp 10.186.400,https://loginmegastore.com/uploads/product/0317-0177-0341_thumb.png?w=400&h=400&fit=contain,10186400
SHARP 4D REF SJIF51PGCG,Rp 10.396.900,https://loginmegastore.com/uploads/product/AA003913_thumb.png?w=400&h=400&fit=contain,10396900
AQUA 4D REF AQRCTD746RAG(BK)U1,Rp 17.607.400,https://loginmegastore.com/uploads/product/0317-0177-0300_thumb.png?w=400&h=400&fit=contain,17607400
SHARP 1D REF SJX197MGDP,Rp 2.249.500,https://loginmegastore.com/uploads/product/AA003801_thumb1.jpg?w=400&h=400&fit=contain,2249500
PANFILA 4D REF PRFM4311GB,Rp 11.133.700,https://loginmegastore.com/uploads/product/0134-0177-0162_thumb.png?w=400&h=400&fit=contain,11133700
SAMSUNG 2D REF RT22FARBDB1/SE,Rp 5.196.900,https://loginmegastore.com/uploads/product/AA004108_thumb.png?w=400&h=400&fit=contain,5196900
LG 2D REF GNB332PGFB,Rp 7.723.200,https://loginmegastore.com/uploads/product/0103-0175-1445_thumb.png?w=400&h=400&fit=contain,7723200
SHARP 1D REF SJX197MGDB,Rp 2.249.500,https://loginmegastore.com/uploads/product/AA003800_thumb1.jpg?w=400&h=400&fit=contain,2249500
HITACHI 4D REF RWB64VGD0XMIR,Rp 27.923.200,https://loginmegastore.com/uploads/product/AA003959_thumb.png?w=400&h=400&fit=contain,27923200
AQUA 2D REF AQRDTM285RAV(MX),Rp 3.923.200,https://loginmegastore.com/uploads/product/0317-0175-0319_thumb.png?w=400&h=400&fit=contain,3923200
LG SIDE BY SIDE 2D GCFB507PQAM,Rp 10.712.700,https://loginmegastore.com/uploads/product/AA004294_thumb.jpeg?w=400&h=400&fit=contain,10712700
HITACHI 2D REF RB33PGD8BSL,Rp 7.817.900,https://loginmegastore.com/uploads/product/AA000769_thumb.jpeg?w=400&h=400&fit=contain,7817900
SHARP 2D REF SJ317MGDB,Rp 3.681.100,https://loginmegastore.com/uploads/product/AA003795_thumb.jpg?w=400&h=400&fit=contain,3681100
SHARP 2D REF SJ237MGDB,Rp 3.239.000,https://loginmegastore.com/uploads/product/AA003792_thumb.jpg?w=400&h=400&fit=contain,3239000
LG SIDE BY SIDE 2D GCB257SQYL,Rp 14.081.100,https://loginmegastore.com/uploads/product/0103-0178-1382_thumb.png?w=400&h=400&fit=contain,14081100
SAMSUNG 2D REF RT42CG6420B1SE,Rp 8.525.300,https://loginmegastore.com/uploads/product/0144-0175-1978_thumb.png?w=400&h=400&fit=contain,8525300
SHARP 2D REF SJ237MGDP,Rp 3.239.000,https://loginmegastore.com/uploads/product/AA003793_thumb.jpg?w=400&h=400&fit=contain,3239000
SAMSUNG 2D REF RT25FARBDB1/SE,Rp 6.081.100,https://loginmegastore.com/uploads/product/AA004109_thumb.png?w=400&h=400&fit=contain,6081100
AQUA 2D REF AQRDTM265CBP(ME),Rp 3.186.400,https://loginmegastore.com/uploads/product/0317-0175-0345_thumb.png?w=400&h=400&fit=contain,3186400
AQUA 2D REF AQRDTM305RAV(MX),Rp 4.449.500,https://loginmegastore.com/uploads/product/0317-0175-0320_thumb.png?w=400&h=400&fit=contain,4449500
SHARP 2D REF SJ326XGCP,Rp 4.396.900,https://loginmegastore.com/uploads/product/0153-0175-1155_thumb.jpg?w=400&h=400&fit=contain,4396900
HITACHI 2D REF RBG41PGD6XXGR,Rp 9.891.600,https://loginmegastore.com/uploads/product/AA000771_thumb.jpeg?w=400&h=400&fit=contain,9891600
SHARP 2D REF SJ317MGDP,Rp 3.681.100,https://loginmegastore.com/uploads/product/AA003794_thumb.jpg?w=400&h=400&fit=contain,3681100
HITACHI 2D REF HRTN5230MXID,Rp 5.396.900,https://loginmegastore.com/uploads/product/0081-0175-0395_thumb.png?w=400&h=400&fit=contain,5396900
SHARP 2D REF SJ326SIGK,Rp 4.144.300,https://loginmegastore.com/uploads/product/0153-0175-1172_thumb.png?w=400&h=400&fit=contain,4144300
HISENSE 2D REF RT469N4IWU,Rp 5.081.100,https://loginmegastore.com/uploads/product/0535-0175-0095_thumb.png?w=400&h=400&fit=contain,5081100
MODENA 4D REF RF4310MABK,Rp 9.660.000,https://loginmegastore.com/uploads/product/0121-0180-0485_thumb.png?w=400&h=400&fit=contain,9660000
BORISH BEINZ EGG BOX ACC BBKW LT01 WH,Rp 98.500,https://loginmegastore.com/uploads/product/0033-0751-0399_thumb.jpg?w=400&h=400&fit=contain,98500
BERVIN MULTIFUNCTION STAND BOS 100 GREY,Rp 460.000,https://loginmegastore.com/uploads/product/0030-0029-0108_thumb.png?w=400&h=400&fit=contain,460000
BERVIN MSTNACCREF BOS 200 DARKGREY,Rp 607.400,https://loginmegastore.com/uploads/product/0030-0029-0121_thumb.png?w=400&h=400&fit=contain,607400
BERVIN MULTIFUNCTION STAND BOS 50 GREY,Rp 365.300,https://loginmegastore.com/uploads/product/0030-0029-0124_thumb.png?w=400&h=400&fit=contain,365300
BERVIN MULTIFUNCTION STAND WM BFSA151MS,Rp 639.000,https://loginmegastore.com/uploads/product/0030-0752-0295_thumb.png?w=400&h=400&fit=contain,639000
BERVIN MULTIFUNCTION STAND WM BWSA121MG,Rp 502.200,https://loginmegastore.com/uploads/product/0030-0752-0293_thumb.png?w=400&h=400&fit=contain,502200
BERVIN MULTIFUNCTION STAND WM BFSA151MG,Rp 639.000,https://loginmegastore.com/uploads/product/0030-0752-0296_thumb.png?w=400&h=400&fit=contain,639000
LUNA MULTIFUNCTION STAND WM LWSA120 GREY,Rp 449.500,https://loginmegastore.com/uploads/product/BC000155_thumb.jpg?w=400&h=400&fit=contain,449500
LUNA MULTIFUNCTION STAND LRSA70 GREY,Rp 365.300,https://loginmegastore.com/uploads/product/BC000171_thumb.jpg?w=400&h=400&fit=contain,365300
BERVIN MULTIFUNCTION STAND WM BFSA151DB,Rp 639.000,https://loginmegastore.com/uploads/product/0030-0752-0294_thumb.png?w=400&h=400&fit=contain,639000
LUNA MULTIFUNCTION STAND LRSF10 GREY,Rp 249.500,https://loginmegastore.com/uploads/product/BC001369_thumb.jpg?w=400&h=400&fit=contain,249500
PANFILA SIDE BY SIDE 2D PRFB5611GB,Rp 10.396.900,https://loginmegastore.com/uploads/product/0134-0178-0160_thumb.png?w=400&h=400&fit=contain,10396900
PANFILA SIDE BY SIDE 2D PRFB6411GB,Rp 12.291.600,https://loginmegastore.com/uploads/product/0134-0178-0161_thumb.png?w=400&h=400&fit=contain,12291600
PANFILA 4D REF PRFM4310,Rp 10.502.200,https://loginmegastore.com/uploads/product/0134-0180-0141_thumb.jpeg?w=400&h=400&fit=contain,10502200
SHARP 4D REF SJIF51PGBK,Rp 10.396.900,https://loginmegastore.com/uploads/product/AA003914_thumb.jpg?w=400&h=400&fit=contain,10396900
BEKO SIDE BY SIDE 3D GNO610E00GUID,Rp 11.765.300,https://loginmegastore.com/uploads/product/0477-0179-0038_thumb.png?w=400&h=400&fit=contain,11765300
LG SIDE BY SIDE 4D GCV22FFQMB,Rp 23.607.400,https://loginmegastore.com/uploads/product/0103-0180-1454_thumb.png?w=400&h=400&fit=contain,23607400
PANFILA SIDE BY SIDE 2D PRFB5610,Rp 9.449.500,https://loginmegastore.com/uploads/product/0134-0178-0140_thumb.jpeg?w=400&h=400&fit=contain,9449500
HITACHI SIDE BY SIDE 2D HRSN9552DDXID,Rp 11.344.300,https://loginmegastore.com/uploads/product/0081-0178-0375_thumb.png?w=400&h=400&fit=contain,11344300
SAMSUNG SIDE BY SIDE 2D RS70F65QNTSE,Rp 15.156.900,https://loginmegastore.com/uploads/product/0144-0178-2088_thumb.png?w=400&h=400&fit=contain,15156900
SAMSUNG SIDE BY SIDE 2D RS57DG4000M9,Rp 9.999.000,https://loginmegastore.com/uploads/product/0144-0178-2087_thumb.png?w=400&h=400&fit=contain,9999000
SAMSUNG SIDE BY SIDE 2D RS70F65QNFSE,Rp 15.788.500,https://loginmegastore.com/uploads/product/0144-0178-2089_thumb.png?w=400&h=400&fit=contain,15788500
HISENSE SIDE BY SIDE 2D RS808N4IBU,Rp 10.712.700,https://loginmegastore.com/uploads/product/0535-0178-0077_thumb.png?w=400&h=400&fit=contain,10712700
MODENA SIDE BY SIDE 2D RF4670SABK,Rp 8.144.300,https://loginmegastore.com/uploads/product/0121-0178-0487_thumb.png?w=400&h=400&fit=contain,8144300
PANASONIC SIDE BY SIDE 2D NRSC631BGHD,Rp 13.291.600,https://loginmegastore.com/uploads/product/0133-0178-0785_thumb.png?w=400&h=400&fit=contain,13291600
SHARP 2D REF SJ426GIGW,Rp 5.607.400,https://loginmegastore.com/uploads/product/202603/product-v3suzpx85ngjaej2qhav1v5i.png?w=400&h=400&fit=contain,5607400
PB CONTAINER BOX JP004 KOTAK CONTAINER MAKANAN KULKAS LARGE,Rp 101.500,https://loginmegastore.com/uploads/product/0707-0412-0043_thumb.png?w=400&h=400&fit=contain,101500
PB CONTAINER BOX JP001 KOTAK CONTAINER MAKANAN KULKAS SMALL,Rp 100.000,https://loginmegastore.com/uploads/product/0707-0412-0041_thumb.png?w=400&h=400&fit=contain,100000
PB CONTAINER BOX JP002 KOTAK CONTAINER MAKANAN KULKAS MEDIUM,Rp 89.000,https://loginmegastore.com/uploads/product/0707-0412-0042_thumb.png?w=400&h=400&fit=contain,89000
PB CONTAINER BOX JP101 KOTAK CONTAINER MAKANAN KULKAS KALENG,Rp 33.500,https://loginmegastore.com/uploads/product/0707-0412-0044_thumb.png?w=400&h=400&fit=contain,33500
PB FOOD CONTAINER HMC118SB KOTAK PENYIMPANAN MAKANAN KULKAS SMALL BIRU,Rp 32.000,https://loginmegastore.com/uploads/product/0707-0357-0023_thumb.png?w=400&h=400&fit=contain,32000
PB FOOD CONTAINER HMC118LW KOTAK PENYIMPANAN MAKANAN KULKAS LARGE PUTIH,Rp 49.500,https://loginmegastore.com/uploads/product/0707-0357-0022_thumb.png?w=400&h=400&fit=contain,49500
